V1 V2 V3 V4 V5 V6
SHIB-1 (17) 0.96 0.006 0.034 B
SHIB-2 (10) 0.968 0.023 0.01 B
SHIB-3 (7) 0.615 0.007 0.378 B
SHIB-4 (3) 0.981 0.012 0.007 B
SHIB-5 (0) 0.965 0.024 0.011 B
SHIH-1 (0) 0.007 0.006 0.987 B
SHIH-2 (7) 0.012 0.009 0.98 B
SHIH-3 (0) 0.014 0.012 0.975 B
SHIH-4 (42) 0.009 0.005 0.985 B
SHIH-5 (10) 0.013 0.006 0.981 B
Alaska (0) 0.03 0.967 0.003 B
Sweden (3) 0.003 0.989 0.007 B
Mexico (3) 0.003 0.994 0.003 B
Quebec (3) 0.005 0.99 0.005 B
China (3) 0.185 0.81 0.004 B
Oman (1) 0.011 0.983 0.006 B
Italy (3) 0.034 0.908 0.059 B
Iran (3) 0.029 0.947 0.024 B
6A (10) 0.003 0.995 0.002 B
AFGH-1 (3) 0.99 0.005 0.005 C
AFGH-2 (3) 0.984 0.011 0.005 C
AFGH-3 (7) 0.991 0.005 0.004 C
AFGH-4 (3) 0.994 0.003 0.003 C
AFGH-5 (10) 0.989 0.007 0.004 C
AKIT-1 (7) 0.005 0.006 0.99 C
AKIT-2 (0) 0.003 0.003 0.994 C
AKIT-3 (0) 0.007 0.004 0.989 C
AKIT-4 (3) 0.003 0.005 0.992 C
AKIT-5 (1) 0.003 0.008 0.989 C
AMAL-1 (3) 0.067 0.01 0.923 C
AMAL-2 (7) 0.044 0.023 0.933 C
AMAL-3 (3) 0.013 0.053 0.934 C
AMAL-4 (10) 0.005 0.005 0.99 C
AMAL-5 (1) 0.005 0.004 0.991 C
BSJI-1 (17) 0.014 0.974 0.012 C
BSJI-2 (3) 0.008 0.979 0.013 C
BSJI-3 (14) 0.005 0.985 0.01 C
BSJI-4 (0) 0.006 0.991 0.004 C
BSJI-5 (0) 0.006 0.985 0.009 C
CHOW-1 (0) 0.012 0.059 0.929 C
CHOW-2 (10) 0.009 0.007 0.984 C
CHOW-3 (14) 0.005 0.008 0.987 C
CHOW-4 (25) 0.011 0.031 0.959 C
CHOW-5 (0) 0.028 0.02 0.953 C
HUSK-1 (10) 0.352 0.009 0.639 C
HUSK-2 (3) 0.65 0.007 0.343 C
HUSK-3 (10) 0.224 0.019 0.757 C
HUSK-4 (3) 0.074 0.012 0.914 C
HUSK-5 (3) 0.068 0.01 0.922 C
LHSA-1 (0) 0.992 0.004 0.004 C
LHSA-2 (32) 0.977 0.015 0.008 C
LHSA-3 (25) 0.986 0.008 0.007 C
LHSA-4 (0) 0.984 0.004 0.012 C
LHSA-5 (3) 0.989 0.005 0.006 C
PEKE-1 (0) 0.994 0.003 0.003 C
PEKE-2 (7) 0.988 0.007 0.005 C
PEKE-3 (0) 0.989 0.005 0.005 C
PEKE-4 (0) 0.994 0.004 0.002 C
PEKE-5 (1) 0.989 0.005 0.005 C
SALU-1 (0) 0.874 0.101 0.025 C
SALU-2 (0) 0.956 0.023 0.021 C
SALU-3 (10) 0.938 0.027 0.034 C
SALU-4 (3) 0.982 0.009 0.009 C
SALU-5 (25) 0.833 0.144 0.023 C
SAMO-1 (0) 0.148 0.832 0.02 C
SAMO-2 (0) 0.043 0.912 0.045 C
SAMO-3 (0) 0.106 0.802 0.092 C
SAMO-4 (0) 0.028 0.962 0.01 C
SAMO-5 (0) 0.253 0.742 0.005 C
SHAR-1 (3) 0.026 0.007 0.966 C
SHAR-2 (7) 0.008 0.005 0.987 C
SHAR-3 (3) 0.006 0.014 0.981 C
SHAR-4 (0) 0.007 0.076 0.917 C
SHAR-5 (3) 0.007 0.003 0.99 C
SHIB-1 (17) 0.039 0.007 0.955 C
SHIB-2 (10) 0.01 0.038 0.952 C
SHIB-3 (7) 0.359 0.003 0.637 C
SHIB-4 (3) 0.006 0.009 0.985 C
SHIB-5 (0) 0.008 0.014 0.978 C
SHIH-1 (0) 0.988 0.007 0.005 C
SHIH-2 (7) 0.981 0.007 0.012 C
SHIH-3 (0) 0.977 0.009 0.014 C
SHIH-4 (42) 0.989 0.004 0.006 C
SHIH-5 (10) 0.982 0.009 0.01 C
Alaska (0) 0.003 0.976 0.021 C
Sweden (3) 0.008 0.989 0.003 C
Mexico (3) 0.003 0.994 0.003 C
Quebec (3) 0.005 0.99 0.004 C
China (3) 0.004 0.867 0.13 C
Oman (1) 0.005 0.986 0.009 C
Italy (3) 0.083 0.9 0.017 C
Iran (3) 0.022 0.96 0.018 C
6A (10) 0.002 0.996 0.002 C
